CO_ANO,CO_MES,CO_MUN,CO_PAIS,KG_LIQUIDO,SG_UF_MUN,SH4,VL_FOB
1999,04,3443303,589,13522,SP,9306,186702
1999,11,3443303,158,5803,SP,9306,120000
1999,01,3443303,249,21731,SP,9306,151520
1999,06,4312401,063,6559,RS,9306,18297
1999,09,3443303,023,18390,SP,9306,130159
1999,05,3443303,245,4,SP,9306,22
1999,02,3443303,741,804,SP,9306,15205
1999,05,3443303,249,41815,SP,9306,282455
1999,06,3443303,198,58,SP,9306,500
1999,03,3443303,063,12758,SP,9306,94677
1999,03,3443303,538,27400,SP,9306,179000
1999,10,3443303,756,8328,SP,9306,59608
1999,03,3443303,249,25172,SP,9306,173888
1999,09,3443303,063,19990,SP,9306,170894
1999,09,3443303,245,4059,SP,9306,28226
1999,09,3443303,431,2535,SP,9306,28240
2000,11,3443303,097,41,SP,9306,81
2000,06,3443303,244,59303,SP,9306,768185
2000,07,3443303,845,863,SP,9306,9837
2000,11,3443303,607,11400,SP,9306,115459
2000,10,3443303,548,3919,SP,9306,44000
2000,03,3443303,538,8137,SP,9306,87574
2000,03,3443303,249,33327,SP,9306,235715
2000,12,3443303,063,8124,SP,9306,64818
2000,03,3443303,628,51,SP,9306,50
2000,06,3424402,040,13200,SP,9306,794000
2000,09,3443303,023,11956,SP,9306,81508
2000,05,3443303,244,57790,SP,9306,774556
2000,03,3443303,158,787,SP,9306,6684
2000,12,3443303,081,3564,SP,9306,235646
2000,10,3306107,087,272,RJ,9306,15912
2000,07,3443303,023,19983,SP,9306,129896
2000,09,4312401,845,2804,RS,9306,8264
2000,02,3443303,023,27,SP,9306,210
2000,12,3443303,023,10935,SP,9306,70834
2000,02,3443303,271,2715,SP,9306,16486
2000,05,3443303,628,925,SP,9306,12543
2000,08,3443303,063,10207,SP,9306,71743
2000,08,3449904,488,3050,SP,9306,157200
2000,04,3407605,850,31,SP,9306,3000
2000,05,3443303,820,8,SP,9306,68
2000,12,3424402,169,14679,SP,9306,1009064
2000,06,3407605,097,13,SP,9306,1300
2000,03,3407605,097,112,SP,9306,12100
2000,05,3443303,589,55651,SP,9306,719080
2000,11,3443303,158,1082,SP,9306,8349
2000,01,3443303,245,11279,SP,9306,63729
2000,09,3443303,069,14976,SP,9306,121939
2000,09,3443303,244,62774,SP,9306,840512
2000,09,3443303,063,29293,SP,9306,229261
2000,06,3443303,756,9880,SP,9306,67555
2000,04,3443303,391,4663,SP,9306,49131
2000,04,3443303,249,71945,SP,9306,495599
2000,08,4312401,249,24,RS,9306,289
2000,02,3443303,850,6635,SP,9306,40618
2000,04,4312401,845,3926,RS,9306,12795
2000,03,3443303,275,8894,SP,9306,45749
2000,11,3443303,850,8777,SP,9306,53574
2000,11,3427207,087,8710,SP,9306,377800
2000,05,3443303,239,67,SP,9306,240
2000,06,3443303,063,24791,SP,9306,82205
2000,11,3443303,087,235,SP,9306,3000
2000,05,3443303,275,437,SP,9306,4574
2000,12,3443303,249,29014,SP,9306,186905
2000,12,3443303,158,668,SP,9306,3800
2000,11,3443303,538,27400,SP,9306,179000
2000,03,3443303,245,3482,SP,9306,23638
2000,06,3449904,169,722,SP,9306,55785
2000,03,3443303,845,24934,SP,9306,183762
2000,07,4312401,249,100,RS,9306,1029
2000,02,3443303,386,15368,SP,9306,98347
2000,04,4312401,249,4137,RS,9306,67083
2000,02,3443303,573,6640,SP,9306,42777
2000,08,3443303,850,11828,SP,9306,73550
2000,11,3443303,023,16306,SP,9306,106113
2000,07,3443303,249,46135,SP,9306,316674
2000,07,4312401,845,2860,RS,9306,8928
2000,11,3424402,040,11420,SP,9306,798500
2000,11,3443303,628,2253,SP,9306,10870
2000,03,3443303,023,12294,SP,9306,82776
2000,05,3443303,023,13912,SP,9306,83375
2000,07,3443303,275,2995,SP,9306,22643
2000,06,3443303,249,69837,SP,9306,487289
2000,10,3443303,244,45444,SP,9306,628052
2000,06,3443303,589,38050,SP,9306,453504
2000,09,3443303,149,48,SP,9306,280
2000,02,3443303,275,213,SP,9306,1813
2000,08,3443303,023,13188,SP,9306,81365
2000,04,3443303,548,5038,SP,9306,37692
2000,08,3443303,548,3563,SP,9306,40450
2000,02,3443303,548,58819,SP,9306,686500
2000,08,3407605,850,263,SP,9306,25485
2000,10,3443303,249,50854,SP,9306,261642
2000,06,3443303,767,12201,SP,9306,86355
2000,12,3306107,087,300,RJ,9306,19890
2000,03,3443303,271,835,SP,9306,3639
2000,10,3443303,063,23703,SP,9306,143089
2000,05,3443303,850,8910,SP,9306,57301
2000,06,3443303,628,7459,SP,9306,101143
2000,06,3407605,063,2,SP,9306,121
2000,01,4312401,063,706,RS,9306,6834
2000,01,3443303,087,1051,SP,9306,13604
2000,11,3443303,069,23200,SP,9306,194640
2000,09,3449904,275,883,SP,9306,41200
2000,07,3443303,386,11466,SP,9306,78756
2000,09,3443303,169,10472,SP,9306,192913
2000,12,3443303,607,1933,SP,9306,24013
2000,02,3443303,589,12595,SP,9306,150190
2000,08,3443303,097,9330,SP,9306,82543
2000,04,3443303,244,37265,SP,9306,488530
2000,08,3443303,431,8424,SP,9306,62759
2000,08,3443303,741,35,SP,9306,265
2000,01,3443303,741,304,SP,9306,336
2000,12,3443303,764,1444,SP,9306,9974
2000,03,4312401,063,17977,RS,9306,62285
2000,09,3443303,249,72530,SP,9306,465999
2000,10,3443303,158,13043,SP,9306,348628
2000,09,3407605,097,235,SP,9306,22660
2000,07,3443303,083,3679,SP,9306,33852
2000,12,3443303,741,8733,SP,9306,50399
2000,05,3443303,249,43361,SP,9306,289420
2000,10,3443303,317,8959,SP,9306,47114
2000,03,3443303,244,130711,SP,9306,1485411
2000,02,3443303,249,65454,SP,9306,427392
2000,03,3443303,750,0,SP,9306,3
2000,07,3443303,573,5620,SP,9306,37187
2000,02,3443303,158,3937,SP,9306,108710
